Date,Probability,Lower_Threshold,Upper_Threshold,Signal,OBV,OBV_Change_5D,Conviction_Proxy,CMF_20,VIX_Percentile,Decision_Allocation,Observed_Bar,Valid_Feature_Row,Volatility,Target_Allocation,Available_Volatility,Available_Average_Volume,Execution_Open_Present,Mocked_Order_Size,Slippage,Order_Target
2025-11-12,0.45146238803863525,0.40158730158730155,0.5984126984126984,0,1327946458.0,67054062.0,5,-0.044543602367799966,55.158730158730165,0.0,True,True,0.02643529931264741,0.0,0.0263495663328509,13804818.4,True,0.0,0.0,0.0
2025-11-13,0.4546630084514618,0.39436507936507936,0.6056349206349206,0,1318859096.0,36718242.0,5,-0.04625575234474225,57.936507936507944,0.0,True,True,0.026792227177267907,0.0,0.02643529931264741,14156708.0,True,0.0,0.0,0.0
2025-11-14,0.46193239092826843,0.35,0.65,0,1309493764.0,16688486.0,5,-0.05069189826110289,76.98412698412699,0.0,True,True,0.026789132916964904,0.0,0.026792227177267907,14159620.6,True,0.0,0.0,0.0
2025-11-17,0.45226600766181946,0.35,0.65,0,1297062260.0,14844414.0,5,-0.0481965457257043,75.9920634920635,0.0,True,True,0.026289836891518273,0.0,0.026789132916964904,13913287.6,True,0.0,0.0,0.0
2025-11-18,0.4759786128997803,0.35,0.65,0,1306993376.0,-6210172.0,3,-0.08876549252700021,85.71428571428571,0.0,True,True,0.025938950752488657,0.0,0.026289836891518273,13989805.9,True,0.0,0.0,0.0
2025-11-19,0.46834447979927063,0.35,0.65,0,1317944640.0,-10001818.0,3,-0.05863325308000477,90.47619047619048,0.0,True,True,0.025330653562881122,0.0,0.025938950752488657,13880151.9,True,0.0,0.0,0.0
2025-11-20,0.45890116691589355,0.35,0.65,0,1311586250.0,-7272846.0,3,-0.08048132803411706,88.09523809523809,0.0,True,True,0.024718018467689378,0.0,0.025330653562881122,13937176.3,True,0.0,0.0,0.0
2025-11-21,0.4709247052669525,0.35,0.65,0,1301944430.0,-7549334.0,3,-0.07421328058710862,92.85714285714286,0.0,True,True,0.024508907227304727,0.0,0.024718018467689378,13666068.5,True,0.0,0.0,0.0
2025-11-24,0.45184075832366943,0.35,0.65,0,1288943266.0,-8118994.0,3,-0.15336636591364683,86.11111111111111,0.0,True,True,0.020727120446336626,0.0,0.024508907227304727,13696397.2,True,0.0,0.0,0.0
2025-11-25,0.4836065471172333,0.35,0.65,0,1297986516.0,-9006860.0,3,-0.14696310315927788,76.5873015873016,0.0,True,True,0.02020212869404042,0.0,0.020727120446336626,13370278.4,True,0.0,0.0,0.0
