Date,Lower,Upper
2023-01-27,0.48,0.52
2023-01-30,0.48,0.52
2023-01-31,0.48,0.52
2023-02-01,0.48,0.52
2023-02-02,0.48,0.52
2023-02-03,0.48,0.52
2023-02-06,0.48,0.52
2023-02-07,0.48,0.52
2023-02-08,0.48,0.52
2023-02-15,0.48,0.52
2023-02-16,0.48,0.52
2023-02-17,0.48,0.52
2023-02-20,0.48,0.52
2023-02-21,0.48,0.52
2023-02-22,0.4438888888888889,0.5561111111111111
2023-02-23,0.45988095238095233,0.5401190476190476
2023-02-24,0.48,0.52
2023-02-27,0.4738095238095238,0.5261904761904762
2023-02-28,0.48,0.52
2023-03-01,0.48,0.52
2023-03-02,0.48,0.52
2023-03-03,0.48,0.52
2023-03-06,0.48,0.52
2023-03-07,0.48,0.52
2023-03-08,0.48,0.52
2023-03-09,0.48,0.52
2023-03-10,0.4418253968253968,0.5581746031746032
2023-03-13,0.3953968253968254,0.6046031746031746
2023-03-14,0.3634126984126984,0.6365873015873016
2023-03-15,0.4186111111111111,0.581388888888889
2023-03-16,0.3706349206349206,0.6293650793650793
2023-03-17,0.4284126984126984,0.5715873015873016
2023-03-20,0.38611111111111107,0.6138888888888889
2023-03-21,0.4057142857142857,0.5942857142857143
2023-03-22,0.47174603174603175,0.5282539682539683
2023-03-23,0.44904761904761903,0.550952380952381
2023-03-24,0.4392460317460317,0.5607539682539683
2023-03-27,0.46246031746031746,0.5375396825396825
2023-03-28,0.48,0.52
2023-03-29,0.48,0.52
2023-03-30,0.48,0.52
2023-03-31,0.48,0.52
2023-04-03,0.48,0.52
2023-04-04,0.48,0.52
2023-04-05,0.48,0.52
2023-04-06,0.48,0.52
2023-04-07,0.48,0.52
2023-04-10,0.48,0.52
2023-04-11,0.48,0.52
2023-04-12,0.48,0.52
2023-04-13,0.48,0.52
2023-04-14,0.48,0.52
2023-04-17,0.48,0.52
2023-04-18,0.48,0.52
2023-04-19,0.48,0.52
2023-04-20,0.48,0.52
2023-04-24,0.48,0.52
2023-04-25,0.48,0.52
2023-04-26,0.48,0.52
2023-04-27,0.48,0.52
2023-04-28,0.48,0.52
2023-05-02,0.48,0.52
2023-05-03,0.48,0.52
2023-05-04,0.48,0.52
2023-05-05,0.48,0.52
2023-05-08,0.48,0.52
2023-05-09,0.48,0.52
2023-05-10,0.48,0.52
2023-05-11,0.48,0.52
2023-05-12,0.48,0.52
2023-05-15,0.48,0.52
2023-05-16,0.48,0.52
2023-05-17,0.48,0.52
2023-05-18,0.48,0.52
