Date,Portfolio_Equity,Portfolio_Return,Cash
2024-04-25,6241445.238366374,0.0,6241445.238366374
2024-04-26,6241445.238366374,0.0,6241445.238366374
2024-04-29,6241445.238366374,0.0,6241445.238366374
2024-04-30,6241445.238366374,0.0,6241445.238366374
2024-05-02,6241445.238366374,0.0,6241445.238366374
2024-05-03,6241445.238366374,0.0,6241445.238366374
2024-05-06,6241445.238366374,0.0,6241445.238366374
2024-05-07,6275825.5574887255,0.0055083907347315535,0.0
2024-05-08,6135555.605993496,-0.022350836588797468,0.0
2024-05-09,6227903.948324489,0.01505134143691616,0.0
2024-05-10,6153366.086129911,-0.011968370548590637,-4.656612873077393e-10
2024-05-13,6081055.844288774,-0.011751331032315697,-4.656612873077393e-10
2024-05-14,6292407.013915012,0.03475566990964823,-4.656612873077393e-10
2024-05-15,6185915.028698213,-0.016923886992895116,-4.656612873077393e-10
2024-05-16,6236495.420332443,0.008176703268566218,-4.656612873077393e-10
2024-05-17,6493719.337266447,0.041244946014935495,-2.3283064365386963e-10
2024-05-20,6585651.106949573,0.014157028492984631,-6.984919309616089e-10
2024-05-21,7111696.348895474,0.07987748415502706,-7.003109203651547e-10
2024-05-22,7189732.109917034,0.010972875836252468,-7.003109203651547e-10
2024-05-23,7183285.2742217425,-0.0008966725876197163,-7.967173587530851e-10
2024-05-24,7091566.342592749,-0.012768382171614478,-6.511982064694166e-10
2024-05-27,7030560.057909357,-0.008602653029836415,-5.911715561524034e-10
2024-05-28,7038639.368716347,0.0011491702994415745,-5.911715561524034e-10
2024-05-29,7054559.703471427,0.0022618483375975618,-5.911715561524034e-10
2024-05-30,7102881.282028183,0.00684969446540771,-3.637978807091713e-10
2024-05-31,7451490.864781654,0.04908002385391521,-3.637978807091713e-10
2024-06-03,7413558.232258269,-0.005090609813758031,7413558.232258269
2024-06-04,7314197.325995792,-0.013402593349861673,0.0
2024-06-05,7261292.678331975,-0.0072331447055421225,0.0
2024-06-06,7197800.717542212,-0.008743892252026325,0.0
2024-06-07,6973718.64687032,-0.031132019274410894,0.0
2024-06-10,6868789.837933011,-0.015046320944478962,0.0
2024-06-11,7133607.236030033,0.03855371970104003,0.0
2024-06-12,7200510.600500612,0.009378616211538376,0.0
2024-06-13,7261241.425304439,0.00843423864963202,0.0
2024-06-14,7335000.926408684,0.010157973930904313,-4.656612873077393e-10
2024-06-20,7723634.639075577,0.05298345788446597,-9.313225746154785e-10
2024-06-21,7734028.59972473,0.0013457343769948593,7734028.59972473
2024-06-24,7734028.59972473,0.0,7734028.59972473
2024-06-25,7635990.171147017,-0.012676243346346318,0.0
2024-06-26,7629238.575535937,-0.0008841807623837507,0.0
2024-06-27,7879045.3902154,0.03274334813443871,0.0
2024-06-28,7588729.00186946,-0.0368466449890579,0.0
2024-07-01,7427945.219919093,-0.02118718192608513,0.0
2024-07-02,7572711.7994305715,0.019489451688909382,0.0
2024-07-03,7920626.137847377,0.04594316377429904,0.0
2024-07-04,7854121.412558249,-0.008396397473091953,0.0
2024-07-05,8078525.145361305,0.02857146216816161,0.0
2024-07-08,8121024.715957652,0.005260808109355197,8121024.715957652
2024-07-09,8019296.774150116,-0.012526490851289013,0.0
2024-07-10,8025385.682637317,0.0007592820990025074,0.0
2024-07-11,8133275.048091415,0.013443511591911855,8133275.048091415
2024-07-12,8129651.7843915,-0.0004454864342458834,0.0
2024-07-16,8180852.556004233,0.006298027636440153,8180852.556004233
2024-07-17,8180852.556004233,0.0,8180852.556004233
2024-07-18,8180852.556004233,0.0,8180852.556004233
2024-07-19,8180852.556004233,0.0,8180852.556004233
2024-07-22,8180852.556004233,0.0,8180852.556004233
2024-07-23,8180852.556004233,0.0,8180852.556004233
2024-07-24,8180852.556004233,0.0,8180852.556004233
2024-07-25,8180852.556004233,0.0,8180852.556004233
2024-07-26,8180852.556004233,0.0,8180852.556004233
2024-07-29,8180852.556004233,0.0,8180852.556004233
2024-07-30,8180852.556004233,0.0,8180852.556004233
2024-07-31,8180852.556004233,0.0,8180852.556004233
2024-08-01,8180852.556004233,0.0,8180852.556004233
2024-08-02,8180852.556004233,0.0,8180852.556004233
2024-08-05,8180852.556004233,0.0,8180852.556004233
2024-08-06,8180852.556004233,0.0,8180852.556004233
2024-08-07,8180852.556004233,0.0,8180852.556004233
2024-08-08,8180852.556004233,0.0,8180852.556004233
2024-08-09,8180852.556004233,0.0,8180852.556004233
2024-08-12,8180852.556004233,0.0,8180852.556004233
2024-08-13,8180852.556004233,0.0,8180852.556004233
2024-08-14,7981390.747041363,-0.02438154307236316,0.0
2024-08-15,8079518.090948645,0.01229451696042532,0.0
2024-08-16,8109821.796771557,0.0037506823404307743,8109821.796771557
2024-08-19,8344675.757509072,0.02895920115421135,0.0
2024-08-20,8351134.8584223315,0.000774038572732666,8351134.8584223315
2024-08-21,8351134.8584223315,0.0,8351134.8584223315
2024-08-22,8351134.8584223315,0.0,8351134.8584223315
2024-08-23,8351134.8584223315,0.0,8351134.8584223315
2024-08-26,8351134.8584223315,0.0,8351134.8584223315
2024-08-27,8351134.8584223315,0.0,8351134.8584223315
2024-08-28,8351134.8584223315,0.0,8351134.8584223315
2024-08-29,8351134.8584223315,0.0,8351134.8584223315
2024-09-02,8351134.8584223315,0.0,8351134.8584223315
2024-09-03,8351134.8584223315,0.0,8351134.8584223315
2024-09-04,8351134.8584223315,0.0,8351134.8584223315
2024-09-05,8351134.8584223315,0.0,8351134.8584223315
2024-09-06,8351134.8584223315,0.0,8351134.8584223315
2024-09-09,8351134.8584223315,0.0,8351134.8584223315
2024-09-10,8351134.8584223315,0.0,8351134.8584223315
2024-09-11,8351134.8584223315,0.0,8351134.8584223315
2024-09-12,8351134.8584223315,0.0,8351134.8584223315
2024-09-13,8351134.8584223315,0.0,8351134.8584223315
2024-09-16,8351134.8584223315,0.0,8351134.8584223315
2024-09-17,8351134.8584223315,0.0,8351134.8584223315
2024-09-18,8351134.8584223315,0.0,8351134.8584223315
2024-09-19,8351134.8584223315,0.0,8351134.8584223315
2024-09-20,8351134.8584223315,0.0,8351134.8584223315
2024-09-23,8351134.8584223315,0.0,8351134.8584223315
2024-09-24,8351134.8584223315,0.0,8351134.8584223315
2024-09-25,8351134.8584223315,0.0,8351134.8584223315
2024-09-26,8351134.8584223315,0.0,8351134.8584223315
2024-09-27,8351134.8584223315,0.0,8351134.8584223315
2024-09-30,8351134.8584223315,0.0,8351134.8584223315
2024-10-01,8351134.8584223315,0.0,8351134.8584223315
2024-10-02,8351134.8584223315,0.0,8351134.8584223315
2024-10-03,8351134.8584223315,0.0,8351134.8584223315
2024-10-04,8351134.8584223315,0.0,8351134.8584223315
2024-10-07,8351134.8584223315,0.0,8351134.8584223315
2024-10-08,8351134.8584223315,0.0,8351134.8584223315
2024-10-09,8351134.8584223315,0.0,8351134.8584223315
2024-10-10,8351134.8584223315,0.0,8351134.8584223315
2024-10-11,8351134.8584223315,0.0,8351134.8584223315
2024-10-14,8351134.8584223315,0.0,8351134.8584223315
2024-10-15,8351134.8584223315,0.0,8351134.8584223315
2024-10-16,8351134.8584223315,0.0,8351134.8584223315
2024-10-17,8351134.8584223315,0.0,8351134.8584223315
2024-10-18,8351134.8584223315,0.0,8351134.8584223315
2024-10-21,8351134.8584223315,0.0,8351134.8584223315
2024-10-22,8351134.8584223315,0.0,8351134.8584223315
2024-10-23,8351134.8584223315,0.0,8351134.8584223315
2024-10-24,8351134.8584223315,0.0,8351134.8584223315
2024-10-25,8351134.8584223315,0.0,8351134.8584223315
2024-10-28,8351134.8584223315,0.0,8351134.8584223315
2024-10-30,8351134.8584223315,0.0,8351134.8584223315
2024-10-31,8351134.8584223315,0.0,8351134.8584223315
2024-11-01,8351134.8584223315,0.0,8351134.8584223315
2024-11-04,8351134.8584223315,0.0,8351134.8584223315
2024-11-05,8351134.8584223315,0.0,8351134.8584223315
2024-11-06,8351134.8584223315,0.0,8351134.8584223315
2024-11-07,8418683.559269331,0.00808856544555442,0.0
2024-11-08,8414968.859931445,-0.00044124468056488513,8414968.859931445
2024-11-11,8414968.859931445,0.0,8414968.859931445
2024-11-12,8414968.859931445,0.0,8414968.859931445
2024-11-13,8414968.859931445,0.0,8414968.859931445
2024-11-14,8414968.859931445,0.0,8414968.859931445
2024-11-15,8414968.859931445,0.0,8414968.859931445
2024-11-18,8414968.859931445,0.0,8414968.859931445
2024-11-19,8414968.859931445,0.0,8414968.859931445
2024-11-20,8414968.859931445,0.0,8414968.859931445
2024-11-21,8414968.859931445,0.0,8414968.859931445
2024-11-22,8414968.859931445,0.0,8414968.859931445
2024-11-25,8414968.859931445,0.0,8414968.859931445
2024-11-26,8414968.859931445,0.0,8414968.859931445
2024-11-27,8414968.859931445,0.0,8414968.859931445
2024-11-28,8414968.859931445,0.0,8414968.859931445
2024-11-29,8414968.859931445,0.0,8414968.859931445
2024-12-02,8414968.859931445,0.0,8414968.859931445
2024-12-03,8414968.859931445,0.0,8414968.859931445
2024-12-04,8414968.859931445,0.0,8414968.859931445
2024-12-05,8414968.859931445,0.0,8414968.859931445
2024-12-06,8414968.859931445,0.0,8414968.859931445
2024-12-09,8414968.859931445,0.0,8414968.859931445
2024-12-10,8414968.859931445,0.0,8414968.859931445
2024-12-11,8414968.859931445,0.0,8414968.859931445
2024-12-12,8414968.859931445,0.0,8414968.859931445
2024-12-13,8414968.859931445,0.0,8414968.859931445
2024-12-16,8414968.859931445,0.0,8414968.859931445
2024-12-17,8414968.859931445,0.0,8414968.859931445
2024-12-18,8414968.859931445,0.0,8414968.859931445
2024-12-19,8414968.859931445,0.0,8414968.859931445
2024-12-20,8414968.859931445,0.0,8414968.859931445
2024-12-23,8414968.859931445,0.0,8414968.859931445
2024-12-24,8414968.859931445,0.0,8414968.859931445
2024-12-26,8414968.859931445,0.0,8414968.859931445
2024-12-27,8414968.859931445,0.0,8414968.859931445
2024-12-30,8414968.859931445,0.0,8414968.859931445
2024-12-31,8414968.859931445,0.0,8414968.859931445
2025-01-02,8414968.859931445,0.0,8414968.859931445
2025-01-03,8414968.859931445,0.0,8414968.859931445
2025-01-06,8414968.859931445,0.0,8414968.859931445
2025-01-07,8414968.859931445,0.0,8414968.859931445
2025-01-08,8414968.859931445,0.0,8414968.859931445
2025-01-09,8414968.859931445,0.0,8414968.859931445
2025-01-10,8414968.859931445,0.0,8414968.859931445
2025-01-13,8414968.859931445,0.0,8414968.859931445
2025-01-14,8414968.859931445,0.0,8414968.859931445
2025-01-15,8414968.859931445,0.0,8414968.859931445
2025-01-16,8414968.859931445,0.0,8414968.859931445
2025-01-17,8414968.859931445,0.0,8414968.859931445
2025-01-20,8414968.859931445,0.0,8414968.859931445
2025-01-21,8414968.859931445,0.0,8414968.859931445
2025-01-22,8414968.859931445,0.0,8414968.859931445
2025-01-23,8414968.859931445,0.0,8414968.859931445
2025-01-24,8414968.859931445,0.0,8414968.859931445
2025-01-27,8414968.859931445,0.0,8414968.859931445
2025-01-28,8414968.859931445,0.0,8414968.859931445
2025-01-29,8414968.859931445,0.0,8414968.859931445
2025-01-30,8414968.859931445,0.0,8414968.859931445
2025-01-31,8414968.859931445,0.0,8414968.859931445
2025-02-03,8414968.859931445,0.0,8414968.859931445
2025-02-04,8414968.859931445,0.0,8414968.859931445
2025-02-05,8414968.859931445,0.0,8414968.859931445
