Date,Equity
2022-07-18,1000000.0
2022-07-19,1000000.0
2022-07-20,1000000.0
2022-07-21,1000000.0
2022-07-22,1000000.0
2022-07-25,1000000.0
2022-07-26,1000000.0
2022-07-27,1000000.0
2022-07-28,1000000.0
2022-07-29,1000000.0
2022-08-01,1000000.0
2022-08-02,1000000.0
2022-08-03,1000000.0
2022-08-04,1000000.0
2022-08-05,1000000.0
2022-08-08,1000000.0
2022-08-09,1000000.0
2022-08-10,1000000.0
2022-08-11,1000000.0
2022-08-12,1000000.0
2022-08-15,1000000.0
2022-08-16,1000000.0
2022-08-17,1000000.0
2022-08-18,1000000.0
2022-08-19,1000000.0
2022-08-22,1000000.0
2022-08-23,1000000.0
2022-08-24,1000000.0
2022-08-25,1000000.0
2022-08-26,1000000.0
2022-08-29,1000000.0
2022-08-31,1000000.0
2022-09-01,1000000.0
2022-09-02,1000000.0
2022-09-05,1000000.0
2022-09-06,1000000.0
2022-09-07,1000000.0
2022-09-08,1000000.0
2022-09-09,999613.0120654944
2022-09-12,1004382.9829420751
2022-09-13,992257.8615542302
2022-09-14,1005316.8589834741
2022-09-15,1006212.5193061477
2022-09-16,1006212.5193061477
2022-09-19,1006212.5193061477
2022-09-20,1006212.5193061477
2022-09-21,1006212.5193061477
2022-09-22,1006212.5193061477
2022-09-23,1006212.5193061477
2022-09-26,1006212.5193061477
2022-09-27,1006212.5193061477
2022-09-28,1006212.5193061477
2022-09-29,1006212.5193061477
2022-09-30,1006212.5193061477
2022-10-03,1006212.5193061477
2022-10-04,1006212.5193061477
2022-10-05,1006212.5193061477
2022-10-06,1006212.5193061477
2022-10-07,1006212.5193061477
2022-10-10,1006212.5193061477
2022-10-11,1006212.5193061477
2022-10-12,1006212.5193061477
2022-10-13,1006212.5193061477
2022-10-14,1006212.5193061477
2022-10-17,1006212.5193061477
2022-10-18,1006212.5193061477
2022-10-19,1006212.5193061477
2022-10-20,1006212.5193061477
2022-10-21,1006212.5193061477
2022-10-24,1006212.5193061477
2022-10-25,1006212.5193061477
2022-10-26,1006212.5193061477
2022-10-27,1006212.5193061477
2022-10-28,1006212.5193061477
2022-10-31,1006212.5193061477
2022-11-01,1006212.5193061477
2022-11-02,1006212.5193061477
2022-11-03,1006212.5193061477
2022-11-04,1006212.5193061477
2022-11-07,1006212.5193061477
2022-11-08,1006212.5193061477
2022-11-09,1006212.5193061477
2022-11-10,1006212.5193061477
2022-11-11,1006212.5193061477
2022-11-14,1006212.5193061477
2022-11-15,1006212.5193061477
2022-11-16,1006212.5193061477
2022-11-17,1006212.5193061477
2022-11-18,1005517.2340341611
2022-11-21,1005558.8847431549
2022-11-22,1005558.8847431549
2022-11-23,1006373.4119010406
2022-11-24,1005221.4154013833
2022-11-25,1005642.6065668438
2022-11-28,1005642.6065668438
2022-11-29,1005642.6065668438
2022-11-30,1005642.6065668438
2022-12-01,1005642.6065668438
2022-12-02,1005642.6065668438
2022-12-05,1005642.6065668438
2022-12-06,1005642.6065668438
2022-12-07,1003253.3868929279
2022-12-08,1003524.4683520664
2022-12-09,1003524.4683520664
2022-12-12,1007562.3390481698
2022-12-13,1007610.8081135192
2022-12-14,1007610.8081135192
2022-12-15,1007610.8081135192
2022-12-16,1007610.8081135192
2022-12-19,1007610.8081135192
2022-12-20,1007610.8081135192
2022-12-21,1007610.8081135192
2022-12-22,1007610.8081135192
2022-12-23,1007610.8081135192
2022-12-26,1007610.8081135192
2022-12-27,1007610.8081135192
2022-12-28,1007610.8081135192
2022-12-29,1007610.8081135192
2022-12-30,1006379.5283284046
2023-01-02,1007334.6630706909
2023-01-03,1007334.6630706909
2023-01-04,1007334.6630706909
2023-01-05,1007334.6630706909
2023-01-06,1007334.6630706909
2023-01-09,1007334.6630706909
2023-01-10,1007334.6630706909
2023-01-11,1007334.6630706909
2023-01-12,1007334.6630706909
2023-01-13,1007334.6630706909
2023-01-16,1011350.6232286104
2023-01-17,1011369.8288280724
2023-01-18,1011369.8288280724
2023-01-19,1011369.8288280724
2023-01-20,1011369.8288280724
2023-01-23,1011369.8288280724
2023-01-24,1011369.8288280724
2023-01-25,1011369.8288280724
2023-01-26,1011369.8288280724
2023-01-27,1011369.8288280724
2023-01-30,1011369.8288280724
2023-01-31,1011369.8288280724
2023-02-01,1011369.8288280724
2023-02-02,1011369.8288280724
2023-02-03,1011369.8288280724
2023-02-06,1011369.8288280724
2023-02-07,1011369.8288280724
2023-02-08,1011369.8288280724
2023-02-15,1016294.2105494239
2023-02-16,1030563.7535813579
2023-02-17,1030563.7535813579
2023-02-20,1030563.7535813579
2023-02-21,1030563.7535813579
2023-02-22,1030563.7535813579
2023-02-23,1030563.7535813579
2023-02-24,1030563.7535813579
2023-02-27,1030563.7535813579
2023-02-28,1030563.7535813579
2023-03-01,1030563.7535813579
2023-03-02,1030563.7535813579
2023-03-03,1030563.7535813579
2023-03-06,1030563.7535813579
2023-03-07,1030563.7535813579
2023-03-08,1030563.7535813579
2023-03-09,1030563.7535813579
2023-03-10,1030563.7535813579
2023-03-13,1030563.7535813579
2023-03-14,1030563.7535813579
2023-03-15,1030563.7535813579
2023-03-16,1030563.7535813579
2023-03-17,1030563.7535813579
2023-03-20,1030563.7535813579
2023-03-21,1030563.7535813579
2023-03-22,1030563.7535813579
2023-03-23,1030563.7535813579
2023-03-24,1030563.7535813579
2023-03-27,1030563.7535813579
2023-03-28,1030563.7535813579
2023-03-29,1033403.798206212
2023-03-30,1033121.9596915093
2023-03-31,1033121.9596915093
2023-04-03,1034375.605997812
2023-04-04,1038230.0525846267
2023-04-05,1038202.1662887182
2023-04-06,1038202.1662887182
2023-04-07,1038202.1662887182
2023-04-10,1042062.7557845395
2023-04-11,1041874.8757896147
2023-04-12,1041874.8757896147
2023-04-13,1041874.8757896147
2023-04-14,1041874.8757896147
2023-04-17,1041874.8757896147
2023-04-18,1041874.8757896147
2023-04-19,1041874.8757896147
2023-04-20,1041874.8757896147
2023-04-24,1041874.8757896147
2023-04-25,1041874.8757896147
2023-04-26,1041874.8757896147
2023-04-27,1041874.8757896147
2023-04-28,1041874.8757896147
2023-05-02,1041874.8757896147
2023-05-03,1041874.8757896147
2023-05-04,1041874.8757896147
2023-05-05,1041874.8757896147
2023-05-08,1041874.8757896147
2023-05-09,1041874.8757896147
2023-05-10,1041874.8757896147
2023-05-11,1041874.8757896147
2023-05-12,1041874.8757896147
2023-05-15,1039564.6040696821
2023-05-16,1045518.2251638588
2023-05-17,1045488.4735684628
2023-05-18,1045488.4735684628
2023-05-22,1045488.4735684628
2023-05-23,1045488.4735684628
2023-05-24,1045488.4735684628
2023-05-25,1045488.4735684628
2023-05-26,1045488.4735684628
2023-05-29,1045488.4735684628
2023-05-30,1045488.4735684628
2023-05-31,1045488.4735684628
2023-06-01,1045488.4735684628
2023-06-02,1044900.5232870738
2023-06-05,1047855.2577581956
2023-06-06,1047855.2577581956
2023-06-07,1047855.2577581956
2023-06-08,1047855.2577581956
2023-06-09,1047855.2577581956
2023-06-12,1047855.2577581956
2023-06-13,1047855.2577581956
2023-06-14,1047855.2577581956
2023-06-15,1047855.2577581956
2023-06-16,1047855.2577581956
2023-06-19,1042349.124747441
2023-06-20,1040795.7601903323
2023-06-21,1039601.0356515666
2023-06-22,1046680.3503116632
2023-06-23,1049532.8498028866
2023-06-26,1050308.2031218335
2023-06-27,1050308.2031218335
2023-07-03,1050308.2031218335
2023-07-04,1050308.2031218335
2023-07-05,1050308.2031218335
2023-07-06,1050308.2031218335
2023-07-07,1050308.2031218335
2023-07-10,1050308.2031218335
2023-07-11,1050308.2031218335
2023-07-12,1050308.2031218335
2023-07-13,1050308.2031218335
2023-07-14,1050308.2031218335
2023-07-17,1050308.2031218335
2023-07-18,1050308.2031218335
2023-07-19,1050308.2031218335
2023-07-20,1050308.2031218335
2023-07-21,1050308.2031218335
2023-07-24,1050308.2031218335
2023-07-25,1050308.2031218335
2023-07-26,1050308.2031218335
