Date,Close,High,Low,Open,Volume
2024-11-19,272.5506591796875,283.54060511435233,271.5737750966062,282.80794205204137,30459346
2024-11-20,264.7356262207031,275.2371316888676,263.2702998763081,274.01602640187167,28212777
2024-11-21,273.2833557128906,273.2833557128906,264.735618939029,265.71250314175603,23938681
2024-11-22,273.0391540527344,274.5044804608886,270.108501236426,273.0391540527344,24811970
2024-11-25,289.4019470214844,293.30948385890525,274.5044628288172,274.99290493349486,61855170
2024-11-26,287.2039489746094,289.64615942507373,284.51751747909856,289.1577173349809,31270250
2024-11-27,285.7386169433594,292.8210271069127,285.49439590323686,292.3325850266677,35199151
2024-11-28,280.6099548339844,284.5174911937265,277.67930256417776,284.27327017124264,26994739
2024-11-29,278.4120178222656,281.0984495731822,276.94669141267474,280.6100074366519,29697434
2024-12-02,278.90045166015625,280.12155696514816,275.96979892817563,277.9235674161627,33276590
2024-12-03,280.3657531738281,283.7848477247285,277.43510070162785,279.63309005577804,28304567
2024-12-04,282.31951904296875,285.00595045254715,281.09841385679675,281.83107696849993,27748059
2024-12-05,286.71551513671875,288.18084144917214,283.2964204076608,283.7848625118119,33995219
2024-12-06,293.5536804199219,293.5536804199219,286.7154915249486,289.15770184458194,35655051
2024-12-09,293.5536804199219,296.9727748674085,292.3325752601052,296.72855383544515,23749386
2024-12-10,292.33258056640625,297.9496644035218,290.86725434802827,293.55368574838786,40376517
2024-12-11,294.286376953125,295.99592437110994,290.3788399977308,292.57682953514,30996824
2024-12-12,291.5999450683594,297.2170294373479,289.8903976517107,295.9959241397417,21407493
2024-12-13,292.33258056640625,292.57680160280256,287.4481598384797,290.86725434802827,22432206
2024-12-16,288.6692810058594,293.7979230541868,288.6692810058594,293.3094809543461,21406432
2024-12-17,290.86724853515625,293.55367988182854,286.22704893635864,288.66925925151526,28508478
2024-12-18,283.78485107421875,290.8672612989626,283.5406300319862,290.13459817226493,24216068
2024-12-19,282.8079528808594,286.22704730256237,281.0984056700079,281.83106876037283,25167342
2024-12-20,283.05218505859375,284.5175112970334,281.0984167406742,282.8079640188538,21909897
2024-12-23,279.3888854980469,285.7386328957298,278.41200128301875,283.54064341191645,20606277
2024-12-24,278.90045166015625,280.60999908714496,276.7024621111708,279.388893782153,15485512
2024-12-25,281.5868835449219,283.0522099120247,281.0984414225543,282.31954672847326,12283659
2024-12-26,283.29638671875,286.4712600181843,281.34261853448277,282.8079446726832,27141490
2024-12-27,284.0290832519531,286.4712937700267,283.0521990447237,283.5406411483384,23638402
2024-12-30,275.7255859375,284.76176545892383,275.7255859375,284.51754439077723,20734285
2024-12-31,274.50445556640625,279.1446554380804,272.306466153508,275.96978184167176,26585935
2025-01-02,280.8542175292969,280.8542175292969,274.7486910612687,275.7255752961532,25569193
2025-01-03,291.1114807128906,292.82102799895625,281.34263907822987,281.58686011909634,40123161
2025-01-06,290.1346130371094,293.06526569404986,288.4250656538941,292.5768235845598,28979311
2025-01-07,286.71551513671875,291.35571512615456,286.2270730325676,289.15772565747443,27531422
2025-01-08,286.2270812988281,288.18084977185765,284.2733128257986,286.2270812988281,24336195
2025-01-09,287.9366149902344,290.6230465126199,285.738625562828,287.6923939427448,23214174
2025-01-10,286.71551513671875,290.8672730220034,285.73863092841646,288.42506250124774,24514821
2025-01-13,283.05218505859375,287.69238481365267,280.6099746611943,285.98283753547304,19087499
2025-01-14,286.71551513671875,288.42506250124774,283.2964204076608,284.5175256680386,26352017
2025-01-15,288.1808166503906,291.59991108522576,285.4943853087344,286.7154904640327,35506445
2025-01-16,290.86724853515625,293.30945885031286,288.18081718848396,292.0883536927346,33591167
2025-01-17,296.4843444824219,296.72856552400543,289.4019342764991,291.1114815675839,35667354
2025-01-20,298.6823425292969,298.9265635779717,294.77480575049987,297.94967938327244,27879358
2025-01-21,294.286376953125,298.43813496823134,292.8210505948522,297.21702966967064,24194618
2025-01-22,298.19390869140625,298.6823508022849,293.5537086380592,294.77481391525583,23395068
2025-01-23,302.5898742675781,304.5436426244309,295.99590606319987,298.9265585984791,38920626
2025-01-24,301.8572082519531,303.8109765901535,298.9265557446526,302.8340924210533,25724625
2025-01-27,299.4150085449219,305.2763137692923,297.70546118781385,300.1476716979682,44353911
2025-01-28,304.54364013671875,305.5205243071653,297.7054509435927,299.90344032709754,37742137
2025-01-29,305.7647399902344,307.2300662202195,301.8572033769406,304.54363479858006,32487977
2025-01-30,305.7647399902344,309.1838345268664,304.7878558369109,306.00896102856524,30495540
2025-01-31,309.6722717285156,310.40493483197423,305.7647351767362,306.0089562112224,32123757
2025-02-03,306.4974060058594,310.6491636967754,304.54363768072244,307.71851120906996,35289967
2025-02-04,296.4843444824219,308.93961760318257,296.2401234408383,307.47429135368134,39064740
2025-02-05,296.72857666015625,299.65922926914544,290.62305039142876,297.21701876165446,37613460
2025-02-06,306.253173828125,308.9396051774945,299.4149849388208,299.4149849388208,38126039
2025-02-07,314.8009033203125,315.04512434693805,304.7878412286656,306.25316738841883,37332540
2025-02-10,312.84716796875,316.0220416483704,311.13762060280055,314.8009363869779,24088178
2025-02-11,312.114501953125,312.60294405320815,306.25319675212734,312.114501953125,27260246
2025-02-12,309.6722717285156,313.82402931478117,308.69538759057076,312.60292414235016,37862912
2025-02-13,311.8702697753906,314.06825914733935,311.13760665140774,312.60293289937357,22660735
2025-02-14,309.4280700683594,315.53359631280216,307.7185227199154,312.3587226656919,26200192
2025-02-17,312.114501953125,314.06827035345754,307.23008095229363,310.16073355279246,31432655
2025-02-18,317.4873352050781,319.44110342172473,311.13758850097656,312.60291466346155,41069874
2025-02-19,310.8934020996094,318.4642547823178,309.67229682820476,317.24314951091327,32683908
2025-02-20,308.451171875,317.7315713455067,307.7185087589074,311.38182433937055,33188614
2025-02-21,302.1014404296875,310.16073512182953,298.438124660532,308.9396298654444,39089686
2025-02-24,302.3456726074219,306.98587275244694,301.36878836636396,305.2763253305956,25538534
2025-02-25,297.7054443359375,304.2994123400969,297.2170022615553,302.5898650797593,23823247
2025-02-26,301.1245422363281,302.83408951585307,297.9496687172103,298.6823318370067,25833012
2025-02-27,308.451171875,309.4280560297902,300.39187759798097,301.12454071407365,51598698
2025-02-28,301.1245422363281,306.25318407490306,298.6823318370067,305.7647419950388,48604438
